duration,2-year,5-year,10-year,25-year,50-year,100-year,250-year
5,9,12,14,16,18,20,23
10,13,18,21,24,27,30,34
15,16,22,26,32,35,39,44
20,19,25,30,36,40,44,49
30,22,30,36,43,48,53,60
45,25,35,41,49,55,61,69
60,27,38,44,53,59,66,74
90,31,43,51,60,67,75,84
120,34,47,55,65,73,81,91
180,38,51,60,71,79,87,98
240,42,55,64,75,84,92,103
300,45,59,68,79,88,96,107
360,48,61,70,82,90,99,110
540,54,68,78,89,98,106,118
720,59,74,84,97,106,115,127
900,64,80,90,103,113,123,135
1080,68,85,97,111,122,133,147
1440,76,95,108,125,137,149,164